2018/10/15-17:09 [main] ERROR org.springframework.boot.context.logging.LoggingApplicationListener- Cannot set level: WARN   for 'com.mycompany.mavenspringboot.controller'
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/user/register.do]}" onto public java.lang.String com.example.controller.UserController.register(com.example.entity.User,java.util.HashMap<java.lang.String, java.lang.Object>) throws com.example.controller.MyException
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/user/getpl]}" onto public java.lang.String com.example.controller.UserController.toIndex(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model,java.util.HashMap<java.lang.String, java.lang.Object>)
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver- Detected @ExceptionHandler methods in globalExceptionHandler
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.view.freemarker.FreeMarkerConfigurer- ClassTemplateLoader for Spring macros added to FreeMarker configuration
 2018/10/15-17:09 [main] WARN  org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration- spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
 2018/10/15-17:09 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Registering beans for JMX exposure on startup
 2018/10/15-17:09 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'dataSource' has been autodetected for JMX exposure
 2018/10/15-17:09 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
 2018/10/15-17:09 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 8080 (http) with context path ''
 2018/10/15-17:09 [main] INFO  com.example.PenglangApplication- Started PenglangApplication in 5.274 seconds (JVM running for 6.442)
 2018/10/15-17:10 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring FrameworkServlet 'dispatcherServlet'
 2018/10/15-17:10 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- FrameworkServlet 'dispatcherServlet': initialization started
 2018/10/15-17:10 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- FrameworkServlet 'dispatcherServlet': initialization completed in 25 ms
 2018/10/15-17:10 [http-nio-8080-exec-1] INFO  com.example.controller.HtmlController- ===============进入登录页========================
 
